               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1155,            0.042695,             0.04434,           0.0024276,             0.19191,           0.0057718,           0.0011568,            0.093644,            0.031582,            0.039278,              0.0847,              0.0017,              0.0017
                   1,            0.090088,             0.04233,             0.03831,             0.57612,             0.15251,            0.056752,            0.014494,            0.089769,            0.033934,            0.036289,            0.068465,           0.0034654,           0.0034654
                   2,            0.075443,            0.037964,            0.036193,             0.40534,             0.22124,             0.12339,            0.033595,            0.065763,            0.025128,            0.034123,            0.052195,           0.0051951,           0.0051951
                   3,            0.070453,            0.035272,            0.035436,             0.45047,             0.27395,             0.18337,            0.069489,            0.067673,            0.020276,            0.032446,            0.035889,           0.0068891,           0.0068891
                   4,            0.071077,            0.031852,            0.033776,             0.38877,             0.21751,             0.11716,            0.028772,             0.07163,            0.018741,            0.031008,            0.019548,           0.0085476,           0.0085476
