               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.035616,            0.020904,           0.0065324,             0.84779,             0.80138,             0.87012,               0.513,            0.032698,            0.019302,            0.017466,            0.007624,            0.007624,            0.007624
                  38,            0.034339,            0.020084,           0.0062128,             0.82977,             0.78839,             0.84698,             0.49088,            0.033429,            0.018432,            0.017506,            0.007558,            0.007558,            0.007558
                  39,            0.034446,            0.020194,           0.0058743,             0.81498,             0.79652,             0.84999,             0.49931,            0.033512,            0.019459,             0.01123,            0.007492,            0.007492,            0.007492
                  40,            0.035005,            0.019797,           0.0054507,             0.80629,             0.75694,             0.82682,             0.49104,            0.034267,            0.021594,            0.014946,            0.007426,            0.007426,            0.007426
                  41,            0.034227,            0.019815,            0.005728,             0.84986,             0.77007,             0.87014,             0.51762,            0.032971,            0.017947,            0.012414,             0.00736,             0.00736,             0.00736
                  42,            0.034409,            0.020184,           0.0058466,             0.81277,             0.78622,              0.8425,             0.50927,            0.032893,            0.019026,            0.012667,            0.007294,            0.007294,            0.007294
                  43,            0.034348,            0.019392,           0.0055894,              0.8805,             0.80073,             0.86816,             0.51029,            0.033453,            0.018258,            0.011512,            0.007228,            0.007228,            0.007228
                  44,            0.032758,            0.019683,           0.0058346,             0.84524,             0.79467,             0.85745,             0.51203,            0.032887,             0.01841,            0.013229,            0.007162,            0.007162,            0.007162
                  45,              0.0333,            0.020507,           0.0056932,             0.81466,             0.79499,             0.84504,             0.51677,            0.031941,            0.019066,            0.013074,            0.007096,            0.007096,            0.007096
                  46,            0.032688,            0.019571,           0.0052024,             0.86243,             0.77453,             0.86195,             0.52286,            0.031487,            0.019027,            0.011496,             0.00703,             0.00703,             0.00703
                  47,            0.033571,            0.020637,           0.0052789,             0.83947,              0.8121,             0.86558,             0.49914,            0.033527,            0.017975,             0.01564,            0.006964,            0.006964,            0.006964
                  48,            0.033379,            0.018714,           0.0051219,             0.83836,             0.81719,             0.87046,             0.52631,            0.030816,            0.018482,            0.012206,            0.006898,            0.006898,            0.006898
