               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11012,             0.04337,            0.042763,           0.0058936,             0.42178,            0.017036,           0.0038289,            0.087273,            0.035125,            0.037301,            0.070417,            0.003287,            0.003287
                   1,            0.083544,            0.040804,            0.036889,             0.34806,             0.15017,            0.062683,            0.015979,              0.0854,            0.023475,            0.033899,            0.040373,           0.0065767,           0.0065767
                   2,            0.076845,            0.032932,            0.034581,             0.23204,             0.30695,             0.16337,             0.04334,            0.071989,            0.023398,            0.031549,            0.010285,           0.0098223,           0.0098223
                   3,            0.072346,            0.031293,            0.033411,             0.22719,             0.33675,             0.24298,            0.091034,            0.065623,            0.020067,            0.030296,            0.009802,            0.009802,            0.009802
                   4,            0.064932,            0.029441,            0.031548,             0.27063,             0.59522,             0.33593,             0.10991,             0.05507,            0.020091,            0.028826,            0.009802,            0.009802,            0.009802
                   5,            0.058418,             0.02646,            0.030541,             0.28394,             0.43965,             0.37053,             0.14572,            0.049941,            0.019418,            0.027696,            0.009736,            0.009736,            0.009736
                   6,             0.05661,            0.027132,            0.028168,             0.37635,             0.63897,             0.49901,             0.21418,            0.047422,            0.020035,            0.025888,             0.00967,             0.00967,             0.00967
                   7,            0.052548,            0.025712,            0.026347,             0.34164,             0.62435,             0.44945,             0.17663,             0.05349,            0.019476,            0.024111,            0.009604,            0.009604,            0.009604
                   8,             0.05055,            0.024576,            0.024624,              0.6682,             0.51973,              0.5068,             0.23124,            0.046086,            0.019025,            0.022668,            0.009538,            0.009538,            0.009538
                   9,            0.049027,            0.025259,            0.022892,             0.53666,              0.6965,             0.64168,             0.28935,              0.0461,            0.019116,            0.021631,            0.009472,            0.009472,            0.009472
                  10,            0.047819,            0.024553,            0.020588,              0.6012,             0.71906,             0.70428,              0.3301,            0.042098,            0.017837,            0.020675,            0.009406,            0.009406,            0.009406
                  11,            0.046219,            0.023584,            0.018565,             0.72266,             0.68042,               0.733,             0.39062,            0.042385,            0.018043,            0.020909,             0.00934,             0.00934,             0.00934
                  12,            0.046639,            0.023637,            0.017197,              0.7455,             0.72121,             0.78238,             0.38558,            0.042374,            0.017624,            0.017388,            0.009274,            0.009274,            0.009274
                  13,            0.043849,            0.022743,            0.016301,             0.74944,             0.68562,             0.76806,             0.38972,            0.042001,            0.017283,            0.016612,            0.009208,            0.009208,            0.009208
                  14,            0.044781,            0.023948,            0.015677,             0.79482,             0.70009,             0.78526,              0.4172,            0.038969,            0.018583,            0.017247,            0.009142,            0.009142,            0.009142
                  15,             0.04298,            0.022826,            0.012875,             0.74507,             0.71728,             0.77822,             0.36925,            0.041354,             0.01844,            0.015239,            0.009076,            0.009076,            0.009076
                  16,            0.044446,            0.022775,            0.012259,             0.69578,             0.71471,             0.75205,             0.37926,            0.040329,            0.019558,            0.019747,             0.00901,             0.00901,             0.00901
                  17,            0.041925,             0.02218,            0.012114,             0.81335,             0.75962,             0.82192,             0.47019,            0.035674,            0.017936,            0.015143,            0.008944,            0.008944,            0.008944
                  18,             0.04225,            0.023331,            0.011038,             0.73704,             0.76441,             0.77572,             0.37344,             0.04034,            0.018231,            0.012442,            0.008878,            0.008878,            0.008878
                  19,            0.042228,            0.024069,           0.0098173,             0.81621,             0.75724,             0.82867,             0.46471,            0.036528,            0.017768,            0.013782,            0.008812,            0.008812,            0.008812
                  20,            0.041949,            0.021691,            0.009854,              0.7879,             0.76782,             0.82511,             0.45012,            0.039511,             0.01741,            0.016092,            0.008746,            0.008746,            0.008746
                  21,            0.040499,            0.022797,           0.0090494,             0.79811,             0.78195,             0.84343,             0.48077,            0.035521,            0.016628,            0.014502,             0.00868,             0.00868,             0.00868
                  22,            0.039172,            0.022311,            0.010545,             0.79141,              0.7735,             0.82613,              0.4385,            0.036109,            0.016864,            0.014362,            0.008614,            0.008614,            0.008614
                  23,            0.039883,            0.022722,           0.0098726,             0.79529,             0.77627,              0.8362,             0.46612,            0.037521,            0.016966,            0.012595,            0.008548,            0.008548,            0.008548
                  24,            0.039271,            0.021772,           0.0096413,             0.79416,             0.77446,             0.82979,             0.46502,            0.036874,            0.018912,            0.013727,            0.008482,            0.008482,            0.008482
                  25,            0.038958,            0.022504,           0.0093465,             0.85588,             0.78638,             0.86217,             0.47071,            0.036416,            0.016872,            0.010089,            0.008416,            0.008416,            0.008416
                  26,              0.0394,            0.022857,           0.0090813,             0.79981,             0.76579,             0.82778,             0.46451,            0.035613,            0.017933,            0.016735,             0.00835,             0.00835,             0.00835
                  27,            0.038655,            0.021829,           0.0082363,             0.82356,             0.82553,             0.86402,              0.4695,            0.037303,            0.016951,            0.013411,            0.008284,            0.008284,            0.008284
                  28,            0.038674,            0.021592,           0.0079926,             0.83748,              0.7754,             0.85475,             0.48595,            0.035312,            0.018054,            0.011782,            0.008218,            0.008218,            0.008218
                  29,            0.037346,            0.020828,           0.0077501,             0.84055,             0.75643,             0.83639,             0.44626,            0.037464,            0.017086,            0.012999,            0.008152,            0.008152,            0.008152
                  30,            0.037645,            0.020904,           0.0081169,             0.78564,             0.74896,             0.79812,             0.42744,            0.036748,            0.017694,            0.016186,            0.008086,            0.008086,            0.008086
                  31,            0.037133,            0.021578,           0.0079557,             0.85096,              0.8071,              0.8717,             0.50674,            0.036229,            0.016657,           0.0092982,             0.00802,             0.00802,             0.00802
                  32,            0.037048,            0.021359,           0.0072383,             0.85098,             0.80743,             0.86996,             0.50225,            0.033117,            0.016616,             0.01207,            0.007954,            0.007954,            0.007954
                  33,            0.036965,            0.022633,           0.0064582,              0.8088,             0.77503,             0.83494,             0.43704,            0.038615,             0.01673,            0.014447,            0.007888,            0.007888,            0.007888
                  34,            0.035983,            0.019782,           0.0061827,             0.81724,             0.82344,             0.85929,             0.50786,            0.033213,            0.016923,            0.012179,            0.007822,            0.007822,            0.007822
                  35,            0.035756,            0.020686,           0.0063291,             0.79517,             0.81103,             0.85196,             0.48145,            0.034186,            0.017393,            0.012388,            0.007756,            0.007756,            0.007756
                  36,            0.036071,            0.021456,           0.0062933,             0.79882,             0.80347,             0.84388,             0.50066,            0.033175,            0.019384,            0.012299,             0.00769,             0.00769,             0.00769
                  37,            0.035991,            0.020948,           0.0068152,             0.85816,             0.78635,             0.85163,             0.51744,            0.031773,            0.018128,            0.010185,            0.007624,            0.007624,            0.007624
                  38,            0.034107,            0.020288,           0.0063452,             0.78926,             0.80326,             0.82848,             0.48356,            0.033321,            0.017481,             0.01293,            0.007558,            0.007558,            0.007558
                  39,            0.033907,            0.020165,           0.0059864,             0.82543,              0.8073,             0.85993,             0.50945,            0.032247,            0.017127,            0.012135,            0.007492,            0.007492,            0.007492
                  40,            0.034464,            0.019752,            0.006473,             0.84883,             0.77148,              0.8537,             0.49477,            0.034096,            0.017054,            0.012385,            0.007426,            0.007426,            0.007426
                  41,            0.033337,            0.019869,           0.0067175,             0.83615,             0.81698,             0.87281,             0.51903,            0.032298,            0.016588,            0.013577,             0.00736,             0.00736,             0.00736
                  42,            0.033784,            0.020244,           0.0059341,             0.84609,             0.81656,             0.87937,             0.52825,            0.033931,            0.016339,            0.014885,            0.007294,            0.007294,            0.007294
                  43,            0.034524,            0.019564,           0.0051368,             0.87033,             0.79452,              0.8722,             0.52318,            0.030689,             0.01643,            0.013486,            0.007228,            0.007228,            0.007228
                  44,            0.033317,            0.019699,           0.0057913,             0.87515,              0.7849,             0.86328,             0.52009,            0.032327,            0.016775,            0.013269,            0.007162,            0.007162,            0.007162
                  45,            0.033499,            0.020661,           0.0056837,             0.83111,             0.78683,             0.85767,             0.53069,            0.029974,            0.016224,            0.017192,            0.007096,            0.007096,            0.007096
                  46,            0.033239,            0.019689,           0.0053347,             0.87043,              0.8037,             0.87422,             0.53335,            0.031147,            0.016809,            0.011729,             0.00703,             0.00703,             0.00703
                  47,            0.033209,            0.020253,           0.0058866,             0.84724,             0.82234,             0.87412,             0.52986,            0.033359,            0.016678,            0.010874,            0.006964,            0.006964,            0.006964
                  48,            0.032898,            0.018884,           0.0053093,             0.85633,             0.79758,             0.88169,             0.54217,            0.030434,            0.016006,            0.010125,            0.006898,            0.006898,            0.006898
                  49,            0.032827,              0.0205,           0.0052186,             0.84489,             0.79003,             0.86836,             0.53266,            0.030849,            0.016381,            0.013406,            0.006832,            0.006832,            0.006832
                  50,            0.032618,            0.019027,           0.0052762,             0.83119,             0.80153,             0.85917,             0.53316,            0.031653,            0.016475,            0.012764,            0.006766,            0.006766,            0.006766
                  51,            0.032446,            0.020267,           0.0053338,               0.828,             0.78941,             0.84464,             0.51314,            0.032623,             0.01756,            0.013608,              0.0067,              0.0067,              0.0067
                  52,            0.032696,            0.018998,           0.0047248,             0.84847,              0.8083,             0.87384,              0.5335,            0.031008,            0.016612,            0.010164,            0.006634,            0.006634,            0.006634
                  53,            0.031692,            0.018951,            0.005281,             0.87003,             0.80396,             0.87261,             0.54861,            0.030977,            0.016929,            0.010337,            0.006568,            0.006568,            0.006568
                  54,            0.033259,            0.019322,           0.0053148,             0.85513,             0.80858,             0.88468,             0.54273,            0.030054,             0.01576,            0.011576,            0.006502,            0.006502,            0.006502
                  55,            0.032527,             0.01844,           0.0046148,             0.84359,               0.805,             0.87589,             0.53758,              0.0307,            0.015822,            0.015478,            0.006436,            0.006436,            0.006436
                  56,            0.031177,             0.01971,           0.0048643,             0.83922,             0.79825,             0.87223,             0.52446,            0.031774,            0.016039,             0.01505,             0.00637,             0.00637,             0.00637
                  57,             0.03158,            0.019679,            0.004992,             0.85196,              0.8042,             0.86433,             0.53417,            0.030254,            0.016228,            0.013143,            0.006304,            0.006304,            0.006304
                  58,            0.031988,            0.019391,           0.0044449,             0.83206,               0.802,             0.86882,             0.54851,            0.029477,            0.016044,            0.015881,            0.006238,            0.006238,            0.006238
                  59,            0.030276,            0.018735,            0.004504,             0.87333,             0.80632,             0.88932,             0.55472,            0.029758,            0.016101,             0.01232,            0.006172,            0.006172,            0.006172
                  60,            0.031232,            0.019546,           0.0049334,             0.86651,             0.79064,             0.87431,             0.54116,             0.03063,            0.015771,            0.010732,            0.006106,            0.006106,            0.006106
                  61,            0.031894,            0.018585,           0.0049662,             0.82752,             0.82979,             0.86899,             0.53919,            0.029654,            0.015773,             0.01497,             0.00604,             0.00604,             0.00604
                  62,             0.02936,            0.018773,           0.0041594,             0.84024,              0.8278,             0.86796,             0.54819,            0.029359,            0.015689,            0.014585,            0.005974,            0.005974,            0.005974
                  63,            0.029753,            0.018506,           0.0040992,             0.82584,             0.78885,             0.85886,             0.52744,            0.030044,            0.016532,            0.017271,            0.005908,            0.005908,            0.005908
