               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.035606,            0.023477,            0.018787,              0.8705,             0.74977,             0.84252,             0.44911,            0.036581,             0.02254,            0.021056,            0.006436,            0.006436,            0.006436
                  38,             0.03497,            0.023153,            0.018625,             0.84036,             0.78081,             0.83977,             0.42784,            0.037339,            0.022494,            0.021173,            0.006337,            0.006337,            0.006337
                  39,            0.035338,            0.022788,            0.018785,             0.85102,             0.76458,             0.84163,             0.45025,            0.036371,            0.022811,            0.021364,            0.006238,            0.006238,            0.006238
                  40,            0.035389,            0.023404,            0.018633,             0.84973,             0.73656,             0.82347,              0.4557,            0.035443,            0.022766,            0.022342,            0.006139,            0.006139,            0.006139
                  41,            0.034829,             0.02277,            0.018446,             0.85894,             0.76431,             0.84657,             0.46878,            0.035338,            0.022323,            0.021174,             0.00604,             0.00604,             0.00604
                  42,            0.034419,            0.022778,            0.018552,             0.84122,             0.76245,             0.82194,             0.44959,             0.03587,             0.02324,            0.021315,            0.005941,            0.005941,            0.005941
                  43,            0.034677,            0.022743,             0.01836,             0.84205,             0.76578,             0.83262,             0.46501,            0.034967,            0.022854,            0.021411,            0.005842,            0.005842,            0.005842
                  44,            0.034454,            0.022585,            0.018469,             0.84624,             0.76524,             0.83494,              0.4623,            0.034958,            0.022379,            0.021196,            0.005743,            0.005743,            0.005743
                  45,            0.033725,            0.022715,             0.01835,             0.81225,             0.77125,              0.8206,             0.45595,            0.035133,            0.022906,            0.022353,            0.005644,            0.005644,            0.005644
                  46,            0.033457,            0.022075,            0.018352,             0.85283,             0.76594,             0.81873,             0.44138,            0.035683,            0.023323,            0.021917,            0.005545,            0.005545,            0.005545
                  47,            0.033718,            0.022271,            0.018449,             0.89091,              0.7408,             0.83273,             0.44854,            0.036052,            0.023077,            0.020661,            0.005446,            0.005446,            0.005446
                  48,            0.034346,             0.02315,            0.018506,             0.82576,             0.75775,             0.81994,             0.44187,            0.036576,            0.023533,            0.022298,            0.005347,            0.005347,            0.005347
                  49,            0.033813,            0.022721,            0.018348,             0.86084,             0.74223,             0.83211,             0.44666,            0.035571,            0.023018,             0.02152,            0.005248,            0.005248,            0.005248
                  50,            0.033038,            0.022106,            0.018159,             0.83035,             0.78336,             0.83638,             0.45734,            0.035509,            0.023317,            0.021276,            0.005149,            0.005149,            0.005149
