Timestamp,Filename,Violation Type,Confidence
20250506_194524,20250506_194524_20250506_194522_no-vest_conf0.52.jpg,no-vest,0.5212037563323975
20250506_194526,20250506_194526_20250506_194524_no-helm_conf0.81.jpg,no-helm,0.8103709816932678
20250506_194528,20250506_194528_20250506_194526_no-vest_conf0.81.jpg,no-vest,0.8116623163223267
20250506_194531,20250506_194531_20250506_194528_no-helm_conf0.68.jpg,no-helm,0.6783082485198975
20250506_194533,20250506_194533_20250506_194531_no-vest_conf0.89.jpg,no-vest,0.890305757522583
20250506_194535,20250506_194535_20250506_194533_no-helm_conf0.74.jpg,no-helm,0.737637996673584
20250506_194537,20250506_194537_20250506_194535_no-vest_conf0.88.jpg,no-vest,0.8823472857475281
20250506_194539,20250506_194539_20250506_194537_no-helm_conf0.77.jpg,no-helm,0.7734413146972656
20250506_194541,20250506_194541_20250506_194539_no-vest_conf0.91.jpg,no-vest,0.9103145599365234
20250506_194543,20250506_194543_20250506_194541_no-helm_conf0.74.jpg,no-helm,0.7429449558258057
20250506_194545,20250506_194545_20250506_194543_no-vest_conf0.90.jpg,no-vest,0.9012710452079773
20250506_194548,20250506_194548_20250506_194545_no-helm_conf0.57.jpg,no-helm,0.568107008934021
20250506_194550,20250506_194550_20250506_194548_no-helm_conf0.77.jpg,no-helm,0.7657268047332764
20250506_194552,20250506_194552_20250506_194550_no-helm_conf0.86.jpg,no-helm,0.8592743277549744
20250506_194554,20250506_194554_20250506_194552_no-helm_conf0.73.jpg,no-helm,0.7251824736595154
20250506_194556,20250506_194556_20250506_194554_no-helm_conf0.72.jpg,no-helm,0.7161082029342651
20250506_194558,20250506_194558_20250506_194556_no-helm_conf0.78.jpg,no-helm,0.7820689678192139
20250506_194600,20250506_194600_20250506_194558_no-helm_conf0.87.jpg,no-helm,0.8735017776489258
20250506_194603,20250506_194603_20250506_194600_no-helm_conf0.84.jpg,no-helm,0.8389397263526917
20250506_194605,20250506_194605_20250506_194603_no-helm_conf0.89.jpg,no-helm,0.8892205357551575
20250506_194607,20250506_194607_20250506_194605_no-helm_conf0.94.jpg,no-helm,0.9393137693405151
