               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036915,            0.023978,           0.0063988,             0.80356,             0.76368,             0.81672,             0.43492,            0.037676,            0.022336,            0.014079,            0.006436,            0.006436,            0.006436
                  38,            0.037204,            0.023796,           0.0059149,             0.84281,             0.77901,             0.83186,              0.4379,            0.037999,            0.022468,            0.012269,            0.006337,            0.006337,            0.006337
                  39,            0.036384,            0.023288,           0.0056231,             0.81496,             0.75428,             0.83314,              0.4287,            0.037982,            0.022576,            0.011547,            0.006238,            0.006238,            0.006238
                  40,            0.036646,             0.02399,           0.0060335,             0.83614,             0.74456,             0.82381,             0.43821,            0.035718,            0.022732,            0.013521,            0.006139,            0.006139,            0.006139
                  41,            0.036547,            0.023368,           0.0054868,             0.84949,              0.7484,             0.82483,             0.45544,            0.035093,            0.022457,            0.013106,             0.00604,             0.00604,             0.00604
                  42,            0.035825,            0.023261,           0.0054744,             0.82979,             0.76706,             0.83212,             0.45465,            0.035987,            0.022297,            0.012123,            0.005941,            0.005941,            0.005941
                  43,            0.035695,            0.023273,           0.0055194,             0.83968,             0.74851,             0.83595,             0.46104,            0.034803,            0.022528,            0.012779,            0.005842,            0.005842,            0.005842
                  44,            0.035968,            0.023109,           0.0057983,              0.8279,             0.76068,             0.83213,             0.45788,            0.035044,            0.022079,            0.013413,            0.005743,            0.005743,            0.005743
                  45,            0.035198,            0.023168,           0.0053708,             0.84783,             0.73358,              0.8301,             0.45967,            0.035113,            0.022424,            0.012704,            0.005644,            0.005644,            0.005644
                  46,            0.035022,            0.022617,           0.0050869,              0.8321,             0.75134,              0.8318,              0.4517,            0.035675,            0.022366,            0.013027,            0.005545,            0.005545,            0.005545
                  47,            0.034858,            0.022654,           0.0052339,             0.81848,             0.77416,             0.82802,             0.44824,            0.036614,            0.022643,            0.012548,            0.005446,            0.005446,            0.005446
                  48,            0.035352,            0.023512,           0.0054378,             0.83472,             0.76602,             0.83016,             0.46762,            0.034514,            0.022158,            0.013249,            0.005347,            0.005347,            0.005347
