               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1155,            0.042695,             0.04434,           0.0022826,               0.194,           0.0045219,           0.0009022,            0.095788,            0.030268,            0.039099,              0.0847,              0.0017,              0.0017
                   1,            0.090088,             0.04233,             0.03831,             0.57888,               0.146,            0.058645,            0.014883,            0.091638,             0.03229,            0.036045,            0.068465,           0.0034654,           0.0034654
                   2,            0.075443,            0.037964,            0.036193,             0.40235,             0.24288,             0.12468,            0.033412,            0.067536,            0.023803,            0.033891,            0.052195,           0.0051951,           0.0051951
